objective,K,algo_a,algo_b,n_pairs,statistic,p_value,significant,better
kapur,3,JADE,LADE,300,372.5,0.027041019552330636,True,LADE
kapur,3,JADE,LSHADE,300,1.5,1.0,False,LSHADE
kapur,3,JADE,SHADE,300,0.0,0.31731050786291415,False,JADE
kapur,3,JADE,StandardDE,300,2.0,0.5637028616507731,False,StandardDE
kapur,3,LADE,LSHADE,300,372.5,0.027041019552330636,True,LADE
kapur,3,LADE,SHADE,300,327.0,0.012116717952669854,True,LADE
kapur,3,LADE,StandardDE,300,372.0,0.042114572633577194,True,LADE
kapur,3,LSHADE,SHADE,300,0.0,0.31731050786291415,False,LSHADE
kapur,3,LSHADE,StandardDE,300,2.0,0.5637028616507731,False,StandardDE
kapur,3,SHADE,StandardDE,300,0.0,0.15729920705028505,False,StandardDE
kapur,5,JADE,LADE,300,22014.0,0.7090982359417797,False,LADE
kapur,5,JADE,LSHADE,300,12689.0,1.6961929546207027e-09,True,LSHADE
kapur,5,JADE,SHADE,300,12988.0,5.9747160014534616e-09,True,SHADE
kapur,5,JADE,StandardDE,300,20725.0,0.2558836809346583,False,StandardDE
kapur,5,LADE,LSHADE,300,18357.0,0.005031837497040716,True,LSHADE
kapur,5,LADE,SHADE,300,18383.0,0.005308394079361294,True,SHADE
kapur,5,LADE,StandardDE,300,20853.0,0.252152181677459,False,StandardDE
kapur,5,LSHADE,SHADE,300,71.5,0.8093522774191951,False,SHADE
kapur,5,LSHADE,StandardDE,300,15882.0,0.019124797187433224,True,LSHADE
kapur,5,SHADE,StandardDE,300,15618.0,0.010987957477159301,True,SHADE
kapur,7,JADE,LADE,300,14082.0,1.624363678617184e-08,True,JADE
kapur,7,JADE,LSHADE,300,15760.0,5.842649685492664e-06,True,LSHADE
kapur,7,JADE,SHADE,300,15893.0,8.848275094231243e-06,True,SHADE
kapur,7,JADE,StandardDE,300,14903.0,3.3623616704512014e-07,True,JADE
kapur,7,LADE,LSHADE,300,10827.0,5.607731489940678e-15,True,LSHADE
kapur,7,LADE,SHADE,300,11060.0,1.895497126360358e-14,True,SHADE
kapur,7,LADE,StandardDE,300,21749.0,0.5828039630619898,False,StandardDE
kapur,7,LSHADE,SHADE,300,655.5,0.45303847742978076,False,LSHADE
kapur,7,LSHADE,StandardDE,300,12079.0,2.9541960499721172e-12,True,LSHADE
kapur,7,SHADE,StandardDE,300,12335.0,9.783993486172704e-12,True,SHADE
kapur,9,JADE,LADE,300,11713.0,5.07492514191124e-13,True,JADE
kapur,9,JADE,LSHADE,300,16811.0,0.00012654605815147382,True,LSHADE
kapur,9,JADE,SHADE,300,17951.0,0.0021051647162175467,True,SHADE
kapur,9,JADE,StandardDE,300,13439.0,1.2361733269343223e-09,True,JADE
kapur,9,LADE,LSHADE,300,9065.0,2.6060142861666017e-19,True,LSHADE
kapur,9,LADE,SHADE,300,8206.0,1.2305034422447946e-21,True,SHADE
kapur,9,LADE,StandardDE,300,21157.0,0.5127907522837232,False,StandardDE
kapur,9,LSHADE,SHADE,300,1698.0,0.457051006345607,False,LSHADE
kapur,9,LSHADE,StandardDE,300,9384.0,1.7540684332441702e-18,True,LSHADE
kapur,9,SHADE,StandardDE,300,10034.0,7.440370142589185e-17,True,SHADE
kapur,11,JADE,LADE,300,11239.0,4.7544545237576816e-14,True,JADE
kapur,11,JADE,LSHADE,300,14131.0,1.962248651053096e-08,True,LSHADE
kapur,11,JADE,SHADE,300,13409.0,1.0914352728513273e-09,True,SHADE
kapur,11,JADE,StandardDE,300,9478.0,3.050500231152405e-18,True,JADE
kapur,11,LADE,LSHADE,300,6481.0,9.89825295597153e-27,True,LSHADE
kapur,11,LADE,SHADE,300,5642.0,2.055439692858534e-29,True,SHADE
kapur,11,LADE,StandardDE,300,21481.0,0.46691065334303017,False,LADE
kapur,11,LSHADE,SHADE,300,5680.0,0.5142349022206198,False,SHADE
kapur,11,LSHADE,StandardDE,300,5411.0,3.5542112403410574e-30,True,LSHADE
kapur,11,SHADE,StandardDE,300,4877.0,5.622369923810037e-32,True,SHADE
kapur,12,JADE,LADE,300,11145.0,2.938508102958539e-14,True,JADE
kapur,12,JADE,LSHADE,300,12095.0,3.1864418115095164e-12,True,LSHADE
kapur,12,JADE,SHADE,300,13054.0,2.427785325283248e-10,True,SHADE
kapur,12,JADE,StandardDE,300,11358.0,8.694758345756036e-14,True,JADE
kapur,12,LADE,LSHADE,300,5692.0,2.995957511970429e-29,True,LSHADE
kapur,12,LADE,SHADE,300,5850.0,9.783121360131121e-29,True,SHADE
kapur,12,LADE,StandardDE,300,20978.0,0.28823023549111837,False,LADE
kapur,12,LSHADE,SHADE,300,4441.0,0.7434081029953779,False,LSHADE
kapur,12,LSHADE,StandardDE,300,5534.0,9.07477050558985e-30,True,LSHADE
kapur,12,SHADE,StandardDE,300,6098.0,6.131641647565346e-28,True,SHADE
otsu,3,JADE,LADE,300,93.0,0.001380787626153542,True,JADE
otsu,3,LADE,LSHADE,300,93.0,0.001380787626153542,True,LSHADE
otsu,3,LADE,SHADE,300,93.0,0.001380787626153542,True,SHADE
otsu,3,LADE,StandardDE,300,93.0,0.001380787626153542,True,StandardDE
otsu,5,JADE,LADE,300,10293.0,3.1462700699851056e-16,True,JADE
otsu,5,JADE,LSHADE,300,13627.0,2.218098096550133e-08,True,LSHADE
otsu,5,JADE,SHADE,300,13627.0,2.218098096550133e-08,True,SHADE
otsu,5,JADE,StandardDE,300,17816.0,0.003614640777720511,True,JADE
otsu,5,LADE,LSHADE,300,7183.0,1.3713204650482141e-24,True,LSHADE
otsu,5,LADE,SHADE,300,7183.0,1.3713204650482141e-24,True,SHADE
otsu,5,LADE,StandardDE,300,14757.0,2.0035890212729816e-07,True,StandardDE
otsu,5,LSHADE,StandardDE,300,8092.0,4.320415392023232e-13,True,LSHADE
otsu,5,SHADE,StandardDE,300,8092.0,4.320415392023232e-13,True,SHADE
otsu,7,JADE,LADE,300,5529.0,8.736619390275712e-30,True,JADE
otsu,7,JADE,LSHADE,300,13999.0,1.176633724509954e-08,True,LSHADE
otsu,7,JADE,SHADE,300,14749.0,1.947037101978352e-07,True,SHADE
otsu,7,JADE,StandardDE,300,6011.0,3.230603938840935e-28,True,JADE
otsu,7,LADE,LSHADE,300,3565.0,1.2428346389340698e-36,True,LSHADE
otsu,7,LADE,SHADE,300,3610.0,1.8177409987602053e-36,True,SHADE
otsu,7,LADE,StandardDE,300,21432.0,0.5069083432902574,False,StandardDE
otsu,7,LSHADE,SHADE,300,27.5,0.11158379448906317,False,LSHADE
otsu,7,LSHADE,StandardDE,300,3824.0,1.0951481366768432e-35,True,LSHADE
otsu,7,SHADE,StandardDE,300,3923.0,2.4964871841934273e-35,True,SHADE
otsu,9,JADE,LADE,300,2251.0,1.2660742501903235e-41,True,JADE
otsu,9,JADE,LSHADE,300,6440.0,7.371911216098212e-27,True,LSHADE
otsu,9,JADE,SHADE,300,6153.0,9.178360479841523e-28,True,SHADE
otsu,9,JADE,StandardDE,300,2116.0,3.723110607033714e-42,True,JADE
otsu,9,LADE,LSHADE,300,504.0,9.00918918774939e-49,True,LSHADE
otsu,9,LADE,SHADE,300,305.0,1.2690373456214155e-49,True,SHADE
otsu,9,LADE,StandardDE,300,22300.0,0.854895152774611,False,LADE
otsu,9,LSHADE,SHADE,300,88.5,0.07759519047515342,False,SHADE
otsu,9,LSHADE,StandardDE,300,552.0,1.4416824270048293e-48,True,LSHADE
otsu,9,SHADE,StandardDE,300,318.0,1.443152854985775e-49,True,SHADE
otsu,11,JADE,LADE,300,891.0,3.8759456110287736e-47,True,JADE
otsu,11,JADE,LSHADE,300,6010.0,3.2068346214435547e-28,True,LSHADE
otsu,11,JADE,SHADE,300,6509.0,1.2099696533542471e-26,True,SHADE
otsu,11,JADE,StandardDE,300,1061.0,1.98138732391175e-46,True,JADE
otsu,11,LADE,LSHADE,300,206.0,4.755399771957745e-50,True,LSHADE
otsu,11,LADE,SHADE,300,187.0,3.9369505263343324e-50,True,SHADE
otsu,11,LADE,StandardDE,300,19915.0,0.1354480600672212,False,StandardDE
otsu,11,LSHADE,SHADE,300,557.0,0.04908942485611926,True,LSHADE
otsu,11,LSHADE,StandardDE,300,64.0,1.154709332572797e-50,True,LSHADE
otsu,11,SHADE,StandardDE,300,62.0,1.131845612002267e-50,True,SHADE
otsu,12,JADE,LADE,300,249.0,7.287395992340858e-50,True,JADE
otsu,12,JADE,LSHADE,300,3901.0,2.0795402942739495e-35,True,LSHADE
otsu,12,JADE,SHADE,300,3928.0,2.602275521382032e-35,True,SHADE
otsu,12,JADE,StandardDE,300,273.0,9.24462974329106e-50,True,JADE
otsu,12,LADE,LSHADE,300,7.0,6.525843069113244e-51,True,LSHADE
otsu,12,LADE,SHADE,300,8.0,6.591586886147655e-51,True,SHADE
otsu,12,LADE,StandardDE,300,20299.0,0.1301400150811888,False,StandardDE
otsu,12,LSHADE,SHADE,300,1875.5,0.17781318694570225,False,SHADE
otsu,12,LSHADE,StandardDE,300,10.0,6.725059293678009e-51,True,LSHADE
otsu,12,SHADE,StandardDE,300,9.0,6.657990099687151e-51,True,SHADE
tsallis,3,JADE,LADE,300,759.0,0.2505086624003616,False,LADE
tsallis,3,JADE,LSHADE,300,12.0,0.7054569861112734,False,JADE
tsallis,3,JADE,SHADE,300,6.0,0.6547208460185769,False,SHADE
tsallis,3,JADE,StandardDE,300,12.0,0.7054569861112734,False,JADE
tsallis,3,LADE,LSHADE,300,749.5,0.30614998926563997,False,LADE
tsallis,3,LADE,SHADE,300,803.0,0.305723807914301,False,LADE
tsallis,3,LADE,StandardDE,300,813.0,0.25130961552603903,False,LADE
tsallis,3,LSHADE,SHADE,300,7.0,0.4142161782425253,False,SHADE
tsallis,3,LSHADE,StandardDE,300,18.0,1.0,False,StandardDE
tsallis,3,SHADE,StandardDE,300,7.0,0.4142161782425253,False,SHADE
tsallis,5,JADE,LADE,300,18841.0,0.013023487443279915,True,JADE
tsallis,5,JADE,LSHADE,300,13932.0,1.3772492908777094e-08,True,LSHADE
tsallis,5,JADE,SHADE,300,13580.0,5.196316384089501e-09,True,SHADE
tsallis,5,JADE,StandardDE,300,21802.0,0.6072181589176973,False,StandardDE
tsallis,5,LADE,LSHADE,300,16364.0,3.6222359052015306e-05,True,LSHADE
tsallis,5,LADE,SHADE,300,16040.0,1.3876665164688553e-05,True,SHADE
tsallis,5,LADE,StandardDE,300,19006.0,0.017625133758365413,True,StandardDE
tsallis,5,LSHADE,SHADE,300,89.0,0.5417186944201802,False,SHADE
tsallis,5,LSHADE,StandardDE,300,16282.0,0.005680566201619236,True,LSHADE
tsallis,5,SHADE,StandardDE,300,15922.0,0.0018488929303556781,True,SHADE
tsallis,7,JADE,LADE,300,16254.0,2.628276042565183e-05,True,JADE
tsallis,7,JADE,LSHADE,300,17058.0,0.00024366379476431846,True,LSHADE
tsallis,7,JADE,SHADE,300,16240.0,2.5222127114914664e-05,True,SHADE
